geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((20.096500151230913 50.03943136306233, 20.09247599311134 50.03679641696901, 20.08842323922536 50.03876603701673, 20.088394610696056 50.04337018585557, 20.092418446188407 50.04600503239776, 20.096471232821255 50.04403582966974, 20.096500151230913 50.03943136306233, 20.096500151230913 50.03943136306233))",885262d569fffff,351.63547328725247,0.0,6529.738529736789,71959.05557287885,6899.7539756134765,0
"POLYGON ((19.938666452543366 50.1023070431865, 19.93464634387487 50.09967610257094, 19.930601362402225 50.10163840805979, 19.93057645628867 50.1062312380771, 19.934596241958772 50.10886207865818, 19.938641256724758 50.10690018927383, 19.938666452543366 50.1023070431865, 19.938666452543366 50.1023070431865))",885262c503fffff,0.0,0.0,6056.694632126326,91993.00855054747,7842.418847787112,0
"POLYGON ((20.047962173561057 50.04924762877268, 20.043938834428957 50.04661392162485, 20.039888286761762 50.048581940052934, 20.039861045199167 50.05318324871072, 20.04388406156782 50.055816856277985, 20.047934642246407 50.05384925478554, 20.047962173561057 50.04924762877268, 20.047962173561057 50.04924762877268))",885262c2c1fffff,1189.2569629642271,949.9779248204633,9129.760156239834,23471.207861706913,3405.1440106116506,4
"POLYGON ((19.959169284279543 50.04193045779047, 19.955146342302044 50.03929903532108, 19.9510993771682 50.041265849582956, 19.951075320243742 50.04586367012539, 19.955097939156705 50.048494993278524, 19.959144938042623 50.04652859522306, 19.959169284279543 50.04193045779047, 19.959169284279543 50.04193045779047))",885262c0abfffff,299.9255903728704,2631.1335673407048,47926.96907232946,47713.60185643447,3049.8045089382417,238
"POLYGON ((20.028052532368097 49.99925605039035, 20.024027146792914 49.99662289595235, 20.019976507727364 49.99859394179139, 20.019951220551988 50.00319772536804, 20.023976283191484 50.00583078089439, 20.02802695592601 50.00386015177337, 20.028052532368097 49.99925605039035, 20.028052532368097 49.99925605039035))",885262c049fffff,0.0,3503.378297314455,24706.424136421585,8232.806290398057,5473.241696884276,17
"POLYGON ((19.954949929333868 50.076075402287344, 19.95092852865796 50.073444062276685, 19.946882374562698 50.0754084679049, 19.94685758769005 50.08000379735207, 19.950878665362083 50.082635037625515, 19.95492485289458 50.08067104820637, 19.954949929333868 50.076075402287344, 19.954949929333868 50.076075402287344))",885262c569fffff,1383.5161047899808,2671.215343033717,43819.982683102826,13734.247562938313,4820.4215126615245,65
"POLYGON ((19.939236191077477 49.99197823331821, 19.935211211753312 49.989347363295145, 19.931164158975633 49.99131719975001, 19.931142051097364 49.99591749025655, 19.935166707186113 49.99854826163058, 19.939213794372517 49.996578841164705, 19.939236191077477 49.99197823331821, 19.939236191077477 49.99197823331821))",885262c185fffff,0.0,1293.8409242889006,17687.61896552817,93326.75418216796,7429.330747118163,20
"POLYGON ((19.850163399389682 50.053636456739, 19.84614188422345 50.051007819555856, 19.842099725603536 50.05297174802398, 19.842079047682503 50.057563898357124, 19.84610023946435 50.06019243628799, 19.85014243253549 50.058228923155475, 19.850163399389682 50.053636456739, 19.850163399389682 50.053636456739))",885262cc15fffff,1101.555385028108,0.0,15125.585525202787,440176.2548146728,10931.407558622266,16
"POLYGON ((19.995372018242644 50.0656179958238, 19.991349825789143 50.0629856262503, 19.987301781704975 50.0649515194606, 19.98727589681841 50.06954936573595, 19.991297766374654 50.07218163562519, 19.995345843698644 50.07021615894088, 19.995372018242644 50.0656179958238, 19.995372018242644 50.0656179958238))",885262c0d9fffff,1665.5448279053962,2137.9980498672885,31756.318285774112,190867.22183519637,2349.049184601799,344
"POLYGON ((19.88661776729652 50.02216478991838, 19.88259455749415 50.01953524315083, 19.878550276566635 50.02150201367514, 19.87852917092846 50.026097915388, 19.882552057393365 50.028727363227894, 19.886596372817763 50.02676100830016, 19.88661776729652 50.02216478991838, 19.88661776729652 50.02216478991838))",885262cf1bfffff,0.0,0.0,8456.752979889667,18332.29942184948,8649.042897244884,7
"POLYGON ((20.04354559332461 50.11100828353691, 20.039525018701312 50.10837464442089, 20.0354758011044 50.1103383644604, 20.03544712569779 50.114935306667576, 20.039467377678644 50.117568845434825, 20.04351662769251 50.115605542361, 20.04354559332461 50.11100828353691, 20.04354559332461 50.11100828353691))",885262d5b9fffff,0.0,0.0,6350.314414412336,61.24665739998537,7998.25355584513,0
"POLYGON ((20.096324879635244 50.067053484691904, 20.09230194360352 50.06441852121777, 20.088249707462104 50.06638625283233, 20.088220374869156 50.070988530590014, 20.09224298833331 50.07362339416519, 20.096295256941946 50.07165607989915, 20.096324879635244 50.067053484691904, 20.096324879635244 50.067053484691904))",885262d555fffff,702.9140683469707,1449.110558332387,10903.78471860879,8909.356131715427,7289.209148095327,7
